epoch,train_loss,val_loss
0,0.2444704472414545,0.0613834410905838
1,0.04348653926438577,0.03162645921111107
2,0.02674725378385267,0.022502325475215912
3,0.021024595905800122,0.017844000831246376
4,0.01623202929197735,0.014785869978368282
5,0.013909290920364092,0.012572243809700012
6,0.011909592316511113,0.011454092338681221
7,0.01080895435518107,0.010258855298161507
8,0.00971033335285815,0.010231607593595982
9,0.009253160163093157,0.009146340191364288
10,0.008095908316317946,0.011337114498019218
11,0.008137874533674,0.007429830729961395
12,0.00715106236937179,0.007457446306943893
13,0.0069632966732496165,0.007563987281173468
14,0.007278139713673374,0.00825957115739584
15,0.006254750921790539,0.007712662685662508
16,0.005492030501497809,0.005923449527472258
17,0.0056406233069562425,0.007168699521571398
18,0.005427894890099934,0.005422006826847792
19,0.005134109900186682,0.004835004452615976
20,0.00605711397991006,0.004658805206418037
21,0.004463660438301992,0.005309193395078182
22,0.0046783100506021386,0.006072851829230785
23,0.005913985359527303,0.005097951740026474
24,0.004667598253365361,0.00451310258358717
25,0.004425366508390603,0.004531052894890308
26,0.0044971926597763496,0.004702663514763117
27,0.004408253150236183,0.004006571136415005
28,0.004183677327256265,0.0056076631881296635
29,0.004065993121991129,0.004874200560152531
30,0.0033974702232896833,0.004440709948539734
31,0.0039019821878724,0.004071987234055996
32,0.003783030138057822,0.004295965190976858
33,0.0035012140023231828,0.008517667651176453
34,0.0035097024227857096,0.006686522159725428
35,0.005248383816384941,0.004793479572981596
