epoch,train_loss,val_loss
0,0.2380957320533894,0.059633973985910416
1,0.043217328271350344,0.03360247239470482
2,0.02698367800362207,0.022588273510336876
3,0.02031003730623303,0.017869682982563972
4,0.016676666799026567,0.015429590828716755
5,0.014466746564249735,0.012789949774742126
6,0.012118398794602301,0.011384660378098488
7,0.0111269197816885,0.010525932535529137
8,0.009948073901437425,0.009225665591657162
9,0.009061929011541242,0.009193055331707
10,0.008262371500549724,0.007929250597953796
11,0.008046801125857274,0.007082123775035143
12,0.007144781727205358,0.008723731152713299
13,0.006805232375218357,0.0069030411541461945
14,0.0067945938188475686,0.009276863187551498
15,0.006945719592575286,0.007139077875763178
16,0.005921300195670384,0.005260384175926447
17,0.005499284906781631,0.007643294055014849
18,0.006074480752529879,0.005164898931980133
19,0.00489613039405683,0.005387859884649515
