epoch,train_loss,val_loss
0,0.6319275404277601,0.5647127032279968
1,0.49861041181965876,0.43667924404144287
2,0.3679861771432977,0.3118850290775299
3,0.2537630718005331,0.2120683640241623
4,0.1745366948215585,0.15278580784797668
5,0.12900825864390322,0.12123383581638336
6,0.10226788842364361,0.09901528060436249
7,0.0853470379584714,0.08670753985643387
8,0.07434083384118582,0.07829548418521881
9,0.06625588022564587,0.07011181116104126
10,0.058695579829968904,0.06331010907888412
11,0.05302228700173529,0.05854946747422218
12,0.049447790376449884,0.05536938086152077
13,0.046834881760572135,0.05208779498934746
14,0.043620055933531965,0.04884377866983414
15,0.04035895856979646,0.04662597179412842
16,0.03857396111676568,0.04494546353816986
17,0.03583948186745769,0.0423031710088253
18,0.034806212802466596,0.041418030858039856
19,0.03409625089874393,0.04189921170473099
