epoch,train_loss,val_loss
0,0.5261066119585719,0.34526440501213074
1,0.2070263610886676,0.12169895321130753
2,0.09035018412396312,0.0716596245765686
3,0.06044109019317797,0.05361683666706085
4,0.04671266455469387,0.04521694406867027
5,0.03844270675576159,0.036277275532484055
6,0.03310135492522802,0.03197251260280609
7,0.029859407804906368,0.02844548225402832
8,0.026167727474655424,0.026449287310242653
9,0.024081910045684447,0.02443554624915123
10,0.02240816191104906,0.022610820829868317
11,0.02081260790250131,0.020879017189145088
12,0.01973676121061934,0.019455527886748314
13,0.017912846840252832,0.01807512156665325
14,0.017242635084715272,0.016878226771950722
15,0.017228058955099965,0.0172379519790411
16,0.015571557667239435,0.017163319513201714
17,0.01530855887436441,0.016582155600190163
18,0.014180392209839607,0.014175458811223507
19,0.01347336415035118,0.013418602757155895
