epoch,train_loss,val_loss
0,0.5914511056616902,0.47153910994529724
1,0.3767868187278509,0.28747230768203735
2,0.23726859781891108,0.17799556255340576
3,0.15164485527202487,0.11905726045370102
4,0.1079477621242404,0.08902979642152786
5,0.0848641536431387,0.07350350171327591
6,0.07018023240379989,0.06120283901691437
7,0.06020279286894947,0.053343456238508224
8,0.05178656888892874,0.046238478273153305
9,0.04715682414826006,0.04201211780309677
10,0.04304382286500186,0.03757703676819801
11,0.03837327368091792,0.03493914753198624
12,0.035775953729171306,0.03204154595732689
13,0.03354733262676746,0.029911667108535767
14,0.032431880361400545,0.02793499454855919
15,0.02953177210292779,0.026585567742586136
16,0.028555000841151923,0.025090591982007027
17,0.02654653775971383,0.02379307709634304
18,0.025682633830001578,0.022478511556982994
19,0.024615254864329472,0.02151390351355076
